0.137 , 0.162 , -5 , 2023.01.24 at 10:44:06.837 PM
0.137 , 0.162 , -5 , 2023.01.24 at 10:44:06.837 PM
0.275 , 0.325 , 5 , 2023.01.24 at 10:44:36.14 PM
0.134 , 0.159 , -5 , 2023.01.24 at 10:50:50.261 PM
0.282 , 0.332 , 5 , 2023.01.24 at 10:54:51.339 PM
0.561 , 0.661 , 5 , 2023.01.24 at 10:57:01.514 PM
0.566 , 0.666 , 5 , 2023.01.24 at 11:11:43.164 PM
0.541 , 0.641 , 5 , 2023.01.24 at 11:12:35.232 PM
0.544 , 0.644 , 5 , 2023.01.24 at 11:13:27.259 PM
0.578 , 0.678 , 5 , 2023.01.24 at 11:14:19.354 PM
0.138 , 0.163 , 5 , 2023.01.24 at 11:22:10.141 PM
0.148 , 0.173 , 5 , 2023.01.25 at 04:38:54.849 PM
0.144 , 0.169 , 5 , 2023.01.25 at 04:41:45.636 PM
0.143 , 0.168 , -5 , 2023.01.25 at 04:43:54.579 PM
0.131 , 0.156 , -5 , 2023.01.25 at 04:44:37.033 PM
0.278 , 0.328 , 5 , 2023.01.25 at 04:45:33.461 PM
0.550 , 0.650 , 5 , 2023.01.25 at 04:46:28.729 PM
0.546 , 0.646 , -5 , 2023.01.25 at 04:47:20.747 PM
